Number_of_Customers_Per_Day,Average_Order_Value,Marketing_Spend_Per_Day
196,8.56,417.65
102,9.89,247.26
343,6.19,282.79
95,4.17,338.11
54,7.8,185.78
475,3.72,318.99
391,7.69,419.86
306,8.88,411.52
228,3.96,336.69
484,6.95,55.82
411,9.83,150.27
413,3.96,494.72
421,4.72,310.22
456,4.95,124.18
469,5.87,92.74
404,8.5,351.74
251,7.81,204.18
313,7.98,460.82
251,3.04,128.46
257,8.48,173.32
178,9.6,436.95
447,9.67,373.58
292,4.82,123.18
308,7.26,331.16
149,9.11,446.58
194,3.28,392.83
353,8.22,207.72
196,5.62,210.26
160,7.1,44.53
269,8.2,103.62
139,4.62,372.39
289,7.16,243.78
448,3.57,376.85
342,7.97,202.9
416,4.42,259.77
380,5.28,48.53
61,5.35,256.54
83,2.84,202.49
261,6.16,170.23
180,5.77,251.04
238,9.0,331.35
491,9.86,192.87
178,7.13,323.21
93,4.99,261.25
210,4.13,364.43
278,4.84,289.45
298,8.15,165.29
234,2.94,50.8
202,8.38,294.31
236,5.91,255.92
203,2.76,115.48
77,4.54,34.08
193,3.1,199.37
324,4.79,419.78
175,2.78,16.87
354,7.28,468.06
110,5.64,130.19
127,8.05,404.5
379,3.08,230.51
257,6.85,20.36
139,3.0,175.8
332,8.38,315.06
357,9.01,73.16
146,3.3,403.11
78,5.48,99.09
420,4.43,106.03
414,8.71,247.25
414,8.46,483.23
382,7.69,186.31
367,5.47,294.59
434,4.87,139.99
376,8.21,473.58
389,6.16,131.26
133,8.59,458.55
215,3.1,152.69
352,5.69,77.74
238,7.85,360.2
465,9.75,412.11
236,4.18,38.54
193,7.38,353.17
317,9.36,161.59
237,8.11,187.67
485,7.62,246.68
394,8.35,162.08
90,7.64,211.36
167,3.01,423.4
327,7.31,231.59
172,9.52,247.79
209,7.44,464.03
276,6.29,189.91
451,6.65,398.4
69,3.57,339.77
250,4.62,224.2
492,3.31,110.88
119,5.09,465.7
495,9.49,133.89
361,8.92,114.63
452,8.25,65.29
209,2.75,453.82
396,4.88,300.36
59,5.31,315.35
366,6.24,113.78
491,7.95,413.71
84,7.7,488.94
306,9.63,129.91
398,2.73,101.52
338,5.97,253.81
495,9.95,11.79
425,9.84,391.97
247,4.78,175.06
96,9.88,226.9
418,4.99,256.51
322,7.05,229.94
251,4.04,214.8
440,5.03,199.26
259,9.6,210.37
435,3.5,392.24
443,3.81,212.7
447,8.0,208.8
84,3.55,464.97
55,6.37,104.49
71,4.8,488.48
127,4.49,363.96
182,8.98,183.96
403,6.3,173.73
207,6.54,462.41
251,4.1,37.75
88,8.97,82.57
409,6.23,124.51
173,9.01,489.68
472,5.01,42.66
221,3.09,317.73
459,9.05,165.46
273,6.58,119.4
226,8.87,297.81
448,2.92,316.15
207,5.75,226.77
85,3.87,90.64
353,8.54,149.49
360,7.35,323.3
63,2.68,18.29
152,3.16,328.85
409,9.91,493.42
344,9.39,190.18
176,3.49,57.71
311,2.61,299.99
204,4.79,149.74
109,4.77,195.56
425,5.15,317.97
449,5.99,328.62
316,5.52,117.34
147,3.74,58.29
380,7.27,37.13
296,6.39,76.46
160,6.99,53.61
350,5.86,22.66
246,8.39,226.94
285,7.72,192.6
485,6.8,19.0
443,8.27,104.74
330,6.6,132.0
169,4.7,62.0
273,7.97,48.47
111,7.6,63.65
193,2.89,310.45
193,8.89,362.85
162,5.44,213.73
404,6.99,389.26
490,4.55,359.38
447,7.54,46.05
167,7.93,385.49
118,8.81,20.31
87,4.83,276.96
167,6.83,268.51
214,3.93,493.68
422,5.23,25.22
148,3.12,171.47
216,8.46,458.42
247,6.89,275.59
193,2.96,435.37
444,3.99,347.87
348,3.94,485.36
129,8.24,207.79
414,6.86,283.14
345,2.84,106.15
414,4.95,156.47
450,2.8,83.2
155,8.64,219.56
171,8.24,42.16
476,8.13,229.72
240,5.8,422.39
293,7.81,136.0
316,9.02,125.48
452,3.76,80.1
414,6.79,472.17
139,6.34,29.31
267,9.39,426.78
275,8.04,145.86
64,5.73,458.23
292,7.89,263.46
241,9.64,47.97
148,4.12,72.28
352,2.61,404.14
367,4.0,461.93
302,8.03,25.91
352,9.86,384.9
100,6.56,302.07
219,7.38,149.85
321,4.82,339.17
316,2.56,269.64
349,7.27,73.09
278,8.17,194.64
483,2.73,438.1
365,4.67,10.12
199,3.47,90.17
454,2.97,448.43
158,8.9,293.77
180,8.69,495.9
164,2.81,415.53
471,3.05,53.72
106,3.74,422.14
154,5.59,380.61
420,7.36,318.32
493,8.7,293.5
196,2.68,14.16
130,8.79,126.16
171,6.66,14.92
340,6.64,243.27
175,8.54,490.57
264,2.82,284.57
398,8.67,248.81
187,5.94,405.56
144,7.34,272.94
298,7.46,286.83
353,3.97,427.75
496,6.46,53.78
460,3.48,456.3
197,7.25,259.47
95,9.73,405.48
398,4.12,79.96
442,8.97,158.5
466,3.16,14.46
89,5.28,376.64
181,5.42,184.64
111,8.11,198.92
162,2.59,33.01
165,6.9,40.82
274,6.5,434.9
193,2.54,134.07
389,4.2,27.23
177,8.79,315.34
148,7.15,184.71
437,4.2,290.43
429,5.15,439.21
369,3.42,19.86
66,9.21,305.96
179,8.86,96.1
476,6.07,13.61
245,9.53,434.74
237,3.38,301.75
352,4.42,384.41
143,4.29,247.78
471,6.84,291.01
152,8.53,158.36
162,3.77,476.61
147,3.26,469.4
210,4.53,190.82
342,3.01,96.57
408,6.56,287.27
169,8.54,313.6
457,9.18,415.68
114,7.56,421.6
173,2.6,498.37
96,4.77,71.29
282,6.6,246.13
203,4.03,430.79
169,3.6,249.77
264,6.74,474.91
86,3.41,39.28
194,3.54,273.47
334,4.85,264.02
224,3.27,42.97
274,7.8,480.58
332,9.05,127.11
389,3.8,88.88
259,8.84,246.18
263,3.05,379.37
235,6.29,103.71
162,5.19,474.1
83,7.43,179.36
426,9.58,113.49
423,4.94,159.11
191,2.83,442.42
236,8.16,239.9
393,3.71,490.18
362,6.08,22.1
177,9.86,69.27
449,6.38,88.75
54,5.2,325.66
288,2.79,323.24
384,7.99,388.41
135,6.94,45.15
83,7.17,221.18
354,8.82,61.84
388,9.69,360.2
480,8.46,76.52
117,8.6,286.23
186,4.44,162.73
208,9.5,120.05
50,8.39,499.29
307,8.08,340.4
358,6.89,234.54
429,6.37,338.28
433,8.51,235.75
275,5.53,445.95
359,5.18,335.23
373,5.01,498.74
182,6.31,139.96
375,9.96,58.75
203,6.85,328.91
338,8.95,209.32
495,9.32,172.68
366,6.13,84.12
225,3.11,26.38
51,2.93,494.78
236,7.24,451.94
253,4.77,227.13
272,6.57,30.13
57,6.02,173.52
468,3.66,29.02
213,3.89,53.19
322,4.56,166.22
108,5.48,305.58
284,4.07,274.9
446,6.72,473.38
360,9.4,307.29
456,4.35,194.15
499,3.99,27.81
164,4.31,171.37
395,6.11,35.64
200,9.48,72.13
210,4.93,173.68
387,7.2,187.15
166,6.41,488.18
322,7.01,107.59
458,7.93,420.54
369,3.01,362.5
152,6.35,137.13
107,9.45,103.29
205,9.32,133.86
280,5.89,174.35
166,6.99,132.68
